path,extension,logical_type,size_bytes,size_human
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(7권) 2025년 중소기업 기술혁신 정책연구 협동연구_내지.hwp,hwp,HWP/HWPX,84919296,81.0MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(2권) 중소기업 주도의 도전적·혁신적 전략기술과제 발굴 및 기획 방안_내지.hwp,hwp,HWP/HWPX,9724928,9.3MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(1권) 중소기업 기술사업화 성과제고 방안에 관한 정책연구_내지.hwp,hwp,HWP/HWPX,6338048,6.0MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(5권) 산학연협력 기술개발사업 사전기획 연구_내지.hwp,hwp,HWP/HWPX,7656448,7.3MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/H0250200_박동운_UNIDO IPL Lap - ASIA.zip__extracted/1. 최종보고서/Draft Final Report_ISI Strategy for SMEs Development and Industrial Transformation in Bangladesh_s Texile and Garment Sector.DOC,doc,Word/RTF,1721541,1.6MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/H0250200_박동운_UNIDO IPL Lap - ASIA.zip__extracted/1. 최종보고서/Draft Final Report_Sustainable Public R&D Funding Mechanisms in Cambodia 03122025.docx,docx,Word/RTF,8013248,7.6MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/H0250200_박동운_UNIDO IPL Lap - ASIA.zip__extracted/1. 최종보고서/[STEPI] UNIDO IPL - ASIA 2025 report_20251209-3.docx,docx,Word/RTF,15386761,14.7MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0847_개방형 기술혁신시스템 구축 방향(안두현)/개방형 기술혁신시스템 구축 방향_안두현(최종보고서).zip__extracted/?????? ???????Žý??? ???? ????_?ȵ???(??????????).pdf,pdf,PDF,1708660,1.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0847_개방형 기술혁신시스템 구축 방향(안두현)/개방형 기술혁신시스템 구축 방향_안두현(최종보고서).zip__extracted/?????? ???????Žý??? ???? ????_?ȵ???(??????????).hwp,hwp,HWP/HWPX,1948672,1.9MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0820_국가 R&D 시스템 변화에 대응한 산업기술연구회 및 소관출연(연) 운영체제 발전 방안(이민형)/국가 R&D 시스템 변화에 대응한 산업기술연구회~_이민형(최종보고서).zip__extracted/???? R&D ?ý??? ??ȭ?? ?????? ????????????ȸ~_?̹???(??????????).HWP,hwp,HWP/HWPX,5846528,5.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0820_국가 R&D 시스템 변화에 대응한 산업기술연구회 및 소관출연(연) 운영체제 발전 방안(이민형)/국가 R&D 시스템 변화에 대응한 산업기술연구회~_이민형(최종보고서).zip__extracted/???? R&D ?ý??? ??ȭ?? ?????? ????????????ȸ~_?̹???(??????????).PDF,pdf,PDF,3891353,3.7MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0850_GDP 대비 R&D 투자 규모 분석과 산업기술혁신 비전수립(이우성)/GDP 대비 R&D 투자 규모 분석과 산업기술혁신 비전수립_이우성(최종보고서).zip__extracted/GDP ???? R&D ???? ?Ը? ?м??? ???????????? ????????_?̿켺(??????????).hwp,hwp,HWP/HWPX,2414080,2.3MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0850_GDP 대비 R&D 투자 규모 분석과 산업기술혁신 비전수립(이우성)/GDP 대비 R&D 투자 규모 분석과 산업기술혁신 비전수립_이우성(최종보고서).zip__extracted/GDP ???? R&D ???? ?Ը? ?м??? ???????????? ????????_?̿켺(??????????).pdf,pdf,PDF,2972274,2.8MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0805_한-EU FTA와 엔지니어링서비스산업 대응방안 연구(하태정)/한-EU FTA와 엔지니어링서비스산업 대응방안 연구_하태정(최종보고서).zip__extracted/??-EU FTA?? ?????Ͼ???񽺻??? ???????? ????_??????(??????????).pdf,pdf,PDF,1619324,1.5MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0805_한-EU FTA와 엔지니어링서비스산업 대응방안 연구(하태정)/한-EU FTA와 엔지니어링서비스산업 대응방안 연구_하태정(최종보고서).zip__extracted/??-EU FTA?? ?????Ͼ???񽺻??? ???????? ????_??????(??????????).hwp,hwp,HWP/HWPX,1399296,1.3MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter 5 (manpower).doc,doc,Word/RTF,1055744,1.0MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Appendices.doc,doc,Word/RTF,189952,185.5KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter (contents).doc,doc,Word/RTF,124928,122.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter 6 (R&D).doc,doc,Word/RTF,685568,669.5KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter 4 (policies).doc,doc,Word/RTF,602112,588.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/References.doc,doc,Word/RTF,73728,72.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter 1 (Profile).doc,doc,Word/RTF,2721280,2.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter 2 (Governance).doc,doc,Word/RTF,1690624,1.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/I08-07_I0071900_이공래_한국의 과학기술혁신 시스템 진단.zip__extracted/Chapter 3 (Private Sector).doc,doc,Word/RTF,2331648,2.2MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter 5 (manpower).doc,doc,Word/RTF,1055744,1.0MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Appendices.doc,doc,Word/RTF,189952,185.5KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter (contents).doc,doc,Word/RTF,124928,122.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter 6 (R&D).doc,doc,Word/RTF,685568,669.5KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter 4 (policies).doc,doc,Word/RTF,602112,588.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/References.doc,doc,Word/RTF,73728,72.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter 1 (Profile).doc,doc,Word/RTF,2721280,2.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter 2 (Governance).doc,doc,Word/RTF,1690624,1.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0807_한국의 과학기술혁신 시스템 진단(이공래)/한국의 과학기술혁신 시스템 진단_이공래(최종보고서).zip__extracted/Chapter 3 (Private Sector).doc,doc,Word/RTF,2331648,2.2MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0836_지역별 건강 의료산업 활성화 및 신성장동력 육성방안 연구(안두현)/지역별 건강 의료산업 활성화 및 신성장동력 육성방안 연구_안두현(최종보고서).zip__extracted/?????? ?ǰ? ?Ƿ????? Ȱ??ȭ ?? ?ż??嵿?? ???????? ????_?ȵ???(??????????).pdf,pdf,PDF,2472471,2.4MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0836_지역별 건강 의료산업 활성화 및 신성장동력 육성방안 연구(안두현)/지역별 건강 의료산업 활성화 및 신성장동력 육성방안 연구_안두현(최종보고서).zip__extracted/?????? ?ǰ? ?Ƿ????? Ȱ??ȭ ?? ?ż??嵿?? ???????? ????_?ȵ???(??????????).hwp,hwp,HWP/HWPX,12538368,12.0MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0804_국가보안기술 연구개발투자의 경제효과분석(이재억)/국가보안기술 연구개발투자의 경제효과분석_이재억(최종보고서).zip__extracted/???????ȱ??? ?????????????? ????ȿ???м?_??????(??????????).pdf,pdf,PDF,2845495,2.7MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0804_국가보안기술 연구개발투자의 경제효과분석(이재억)/국가보안기술 연구개발투자의 경제효과분석_이재억(최종보고서).zip__extracted/???????ȱ??? ?????????????? ????ȿ???м?_??????(??????????).hwp,hwp,HWP/HWPX,3830784,3.7MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0833_과학기술 미래전략연구를 위한 사전기획조사(이세준)/과학기술 미래전략연구를 위한 사전기획조사_이세준(최종보고서).zip__extracted/???б??? ?̷??????????? ???? ??????ȹ????_?̼???(??????????).hwp,hwp,HWP/HWPX,4032000,3.8MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0833_과학기술 미래전략연구를 위한 사전기획조사(이세준)/과학기술 미래전략연구를 위한 사전기획조사_이세준(최종보고서).zip__extracted/???б??? ?̷??????????? ???? ??????ȹ????_?̼???(??????????).pdf,pdf,PDF,4196089,4.0MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0815_국내외 지역기술혁신에 관한 연구의 분석연구(조황희)/국내외 지역기술혁신에 관한 연구의 분석연구_조황희(최종보고서).zip__extracted/?????? ???????????ſ? ???? ?????? ?м?????_??Ȳ??(??????????).hwp,hwp,HWP/HWPX,3337728,3.2MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0815_국내외 지역기술혁신에 관한 연구의 분석연구(조황희)/국내외 지역기술혁신에 관한 연구의 분석연구_조황희(최종보고서).zip__extracted/?????? ???????????ſ? ???? ?????? ?м?????_??Ȳ??(??????????).pdf,pdf,PDF,2442525,2.3MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0803_한국원자력통제기술원 중장기 발전계획(이정원)/한국원자력통제기술원 중장기 발전계획_이정원(최종보고서).zip__extracted/?ѱ????ڷ??????????? ?????? ??????ȹ_??????(??????????-????????).pdf,pdf,PDF,3844342,3.7MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0803_한국원자력통제기술원 중장기 발전계획(이정원)/한국원자력통제기술원 중장기 발전계획_이정원(최종보고서).zip__extracted/?ѱ????ڷ??????????? ?????? ??????ȹ_??????(??????????).hwp,hwp,HWP/HWPX,6280192,6.0MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0803_한국원자력통제기술원 중장기 발전계획(이정원)/한국원자력통제기술원 중장기 발전계획_이정원(최종보고서).zip__extracted/?ѱ????ڷ??????????? ?????? ??????ȹ_??????(??????????-????????).doc,doc,Word/RTF,1620480,1.5MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0803_한국원자력통제기술원 중장기 발전계획(이정원)/한국원자력통제기술원 중장기 발전계획_이정원(최종보고서).zip__extracted/?ѱ????ڷ??????????? ?????? ??????ȹ_??????(??????????).pdf,pdf,PDF,6903399,6.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0826_ 2009년 이후 한-UNDP 협력추진방안 수립 사업(송치웅)/2009년 이후 한-UNDP 협력추진방안 수립 사업_송치웅(최종보고서).zip__extracted/2009?? ???? ??-UNDP ???????????? ???? ????_??ġ??(??????????).hwp,hwp,HWP/HWPX,756736,739.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0826_ 2009년 이후 한-UNDP 협력추진방안 수립 사업(송치웅)/2009년 이후 한-UNDP 협력추진방안 수립 사업_송치웅(최종보고서).zip__extracted/2009?? ???? ??-UNDP ???????????? ???? ????_??ġ??(??????????).PDF,pdf,PDF,1208168,1.2MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0828_한국뇌연구원 경제적 타당성 평가연구(이우성)/한국 뇌연구원 경제적 타당성 평가 연구_이우성(최종보고서).zip__extracted/?ѱ? ???????? ?????? Ÿ?缺 ???? ????_?̿켺(??????????).hwp,hwp,HWP/HWPX,2502656,2.4MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0828_한국뇌연구원 경제적 타당성 평가연구(이우성)/한국 뇌연구원 경제적 타당성 평가 연구_이우성(최종보고서).zip__extracted/?ѱ? ???????? ?????? Ÿ?缺 ???? ????_?̿켺(??????????).pdf,pdf,PDF,5581701,5.3MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0829_시험인증기관발전 전략 연구(김석현)/시험인증기관발전 전략 연구_김석현(최종보고서).zip__extracted/???????????????? ???? ????_?輮??(??????????).hwp,hwp,HWP/HWPX,7901696,7.5MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0829_시험인증기관발전 전략 연구(김석현)/시험인증기관발전 전략 연구_김석현(최종보고서).zip__extracted/???????????????? ???? ????_?輮??(??????????).pdf,pdf,PDF,5948604,5.7MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0853_박동배 로봇법 제정(08.9.29)에 따른 로봇랜드 지정 및 운영 및 운영방안 연구/로봇법 제정(08.9.29)에 따른 로봇랜드 지정~_박동배(최종보고서).zip__extracted/?κ??? ????(08.9.29)?? ???? ?κ????? ????~_?ڵ???(??????????).hwp,hwp,HWP/HWPX,294912,288.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0853_박동배 로봇법 제정(08.9.29)에 따른 로봇랜드 지정 및 운영 및 운영방안 연구/로봇법 제정(08.9.29)에 따른 로봇랜드 지정~_박동배(최종보고서).zip__extracted/?κ??? ????(08.9.29)?? ???? ?κ????? ????~_?ڵ???(??????????).pdf,pdf,PDF,1373105,1.3MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0809_KISTI Activity의 국민경제적 기여도 분석(장진규)/KISTI Activity의 국민경제적 기여도 분석(2차년도)_장진규(최종보고서).zip__extracted/KISTI Activity?? ???ΰ????? ?⿩?? ?м?(2???⵵)_??????(??????????).hwp,hwp,HWP/HWPX,615936,601.5KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0809_KISTI Activity의 국민경제적 기여도 분석(장진규)/KISTI Activity의 국민경제적 기여도 분석(2차년도)_장진규(최종보고서).zip__extracted/KISTI Activity?? ???ΰ????? ?⿩?? ?м?(2???⵵)_??????(??????????).pdf,pdf,PDF,10033594,9.6MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0806_OECD 과학기술정책위원회(CSTP) 및 산하작업반 활동에 관한 조사분석(이명진)/OECD 과학기술정책위원회(CSTP) 및 산하작업반 활동에 관한 조사분석_이명진(최종보고서).zip__extracted/OECD ???б?????å????ȸ(CSTP)~_?̸???(??????????).pdf,pdf,PDF,1565358,1.5MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0806_OECD 과학기술정책위원회(CSTP) 및 산하작업반 활동에 관한 조사분석(이명진)/OECD 과학기술정책위원회(CSTP) 및 산하작업반 활동에 관한 조사분석_이명진(최종보고서).zip__extracted/OECD ???б?????å????ȸ(CSTP)~_?̸???(??????????).hwp,hwp,HWP/HWPX,1007616,984.0KB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0842_프론티어연구성과 활용 확산 지원사업의 발전방안 수립(조황희)/프론티어연구성과 활용 확산 지원사업의 발전방안 수립_조황희(최종보고서).zip__extracted/????Ƽ??????? Ȱ?? Ȯ?? ?????????? ???????? ????_??Ȳ??(??????????).pdf,pdf,PDF,3300478,3.1MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0842_프론티어연구성과 활용 확산 지원사업의 발전방안 수립(조황희)/프론티어연구성과 활용 확산 지원사업의 발전방안 수립_조황희(최종보고서).zip__extracted/????Ƽ??????? Ȱ?? Ȯ?? ?????????? ???????? ????_??Ȳ??(??????????).hwp,hwp,HWP/HWPX,2406400,2.3MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0819_전력기금사업의 성과중심 평가시스템 구축(장진규)/전력기금사업의 성과중심 평가시스템 구축 및 운영방안 연구_장진규(최종보고서).zip__extracted/???±??ݻ????? ?????߽? ?򰡽ý??? ???? ?? ????? ????_??????(??????????).pdf,pdf,PDF,3608717,3.4MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0819_전력기금사업의 성과중심 평가시스템 구축(장진규)/전력기금사업의 성과중심 평가시스템 구축 및 운영방안 연구_장진규(최종보고서).zip__extracted/???±??ݻ????? ?????߽? ?򰡽ý??? ???? ?? ????? ????_??????(??????????).hwp,hwp,HWP/HWPX,2477568,2.4MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0818_양성자가속기연구센터 중장기발전계획 및 비전 수립에 관한 연구(황석원)/양성자통합본0513.zip__extracted/?缺?????պ?0513.hwp,hwp,HWP/HWPX,34065408,32.5MB
5. 수탁연구/2008년 수탁과제 최종보고서(50건)/I-0818_양성자가속기연구센터 중장기발전계획 및 비전 수립에 관한 연구(황석원)/I08-18 황석원 양성자가속기연구센터 중장기발전계획/양성자통합본0513.zip__extracted/?缺?????պ?0513.hwp,hwp,HWP/HWPX,34065408,32.5MB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0708_글로벌개발과경쟁(김기국)/글로벌 개방과 경쟁을 통한 과학기술혁신역량 제고_김기국(최종보고서).zip__extracted/?۷ι? ?????? ?????? ???? ???б??????ſ??? ????_???ⱹ(??????????).pdf,pdf,PDF,1960334,1.9MB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0708_글로벌개발과경쟁(김기국)/글로벌 개방과 경쟁을 통한 과학기술혁신역량 제고_김기국(최종보고서).zip__extracted/?۷ι? ?????? ?????? ???? ???б??????ſ??? ????_???ⱹ(??????????).hwp,hwp,HWP/HWPX,7665152,7.3MB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0732_서비스과학화(이우성)/서비스과학화를 위한 정책방향 연구_조황희_이우성(최종보고서).zip__extracted/???񽺰???ȭ?? ???? ??å???? ????_??Ȳ??_?̿켺(??????????).hwp,hwp,HWP/HWPX,3004416,2.9MB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0732_서비스과학화(이우성)/서비스과학화를 위한 정책방향 연구_조황희_이우성(최종보고서).zip__extracted/???񽺰???ȭ?? ???? ??å???? ????_??Ȳ??_?̿켺(??????????).pdf,pdf,PDF,2544935,2.4MB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0706_OECD 과학기술정책위원회(CSTP) 활동에 관한 조사(신태영)/위탁/OECD WPB 2006 주요자료.zip__extracted/DSTI_STP_BIO_A(2006)1_REV1_ENG.pdf,pdf,PDF,155623,152.0KB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0706_OECD 과학기술정책위원회(CSTP) 활동에 관한 조사(신태영)/위탁/OECD WPB 2006 주요자료.zip__extracted/DSTI_STP_BIO_M(2006)6_ENG.pdf,pdf,PDF,137112,133.9KB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0706_OECD 과학기술정책위원회(CSTP) 활동에 관한 조사(신태영)/위탁/OECD WPB 2006 주요자료.zip__extracted/DSTI_STP_BIO_A(2006)3_REV1_ENG.pdf,pdf,PDF,123337,120.4KB
5. 수탁연구/2007년 수탁과제 최종보고서(44건)/I-0706_OECD 과학기술정책위원회(CSTP) 활동에 관한 조사(신태영)/위탁/OECD WPB 2006 주요자료.zip__extracted/DSTI_STP_BIO_A(2006)2_ENG[1].pdf,pdf,PDF,24644,24.1KB
