source,format,sizeBytes,version,sections,pageCount,paraCount,textCharCount,title,warnings,error,exitClass,textCountError
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9908_혁신능력을 극대화하는 창의적 R&D 투자의 효율화(홍사균)/3192-W(홍사균)-I99120.hwp,hwp3,423767,3.0.0.0,1,223,1541,177765,제  출  문,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9909_정보통신 연구개발사업의 산업-경제적 거시효과 분석(장진규)/I99-09.hwp,hwp3,471423,3.0.0.0,1,228,2221,178733,최 종 보 고 서,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9910_국제 과학기술 환경의 변화와 우리의 대응방안 - OECD CSTP 활동을 중심으로(정성철)/B-j3263a.hwp,hwp3,144096,3.0.0.0,1,66,1050,57910,국제 과학기술 환경의 변화와 우리의 대응방안,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9910_국제 과학기술 환경의 변화와 우리의 대응방안 - OECD CSTP 활동을 중심으로(정성철)/B-j3263b.hwp,hwp3,201736,3.0.0.0,1,102,757,175613,￼￼,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9914_거대과학 국제협력체제 분석 및 우리의 참여방안(정성철)/3330(정성철)-G99090.hwp,hwp3,263350,3.0.0.0,1,119,1633,103855,정책연구 99-23,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9915_산업기술연구회 소관연구기관 기관평가체계 및 평가지표 개발(이철원)/기관배포편람(수정)991209_1.hwp,hwp3,210474,3.0.0.0,1,76,1160,48809,산업기술연구회 소관 출연연구기관,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9915_산업기술연구회 소관연구기관 기관평가체계 및 평가지표 개발(이철원)/수탁연구.hwp,hwp3,261464,3.0.0.0,1,101,1537,61554,1999년도,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9916_기술금융제도의 실효성 제고방안  과학기술진흥기금을 중심으로(이재억)/3194(오재건)-G99010.hwp,hwp3,544880,3.0.0.0,1,190,2165,165508,정책연구 99-16,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9917_국토조건을 고려한 지식기반사회 하부구조 종합구상(이달환)/B-W3376-c.hwp,hwp3,3520777,3.0.0.0,1,30,114,19972,나. 자연환경 요인 분석 및 평가,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9917_국토조건을 고려한 지식기반사회 하부구조 종합구상(이달환)/B-W3376a.hwp,hwp3,2823007,3.0.0.0,1,175,1854,169303,99-10,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9917_국토조건을 고려한 지식기반사회 하부구조 종합구상(이달환)/B-W3376b.hwp,hwp3,4284056,3.0.0.0,1,50,288,23278,을 고려한,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9917_국토조건을 고려한 지식기반사회 하부구조 종합구상(이달환)/참고문헌.hwp,hwp3,13861,3.0.0.0,1,6,128,8561,참고문헌,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9918_기초기술연구회 출연연구기관 평가시스템 개발 및 적용 연구(이정원)/기관평가편람/1222평가편람2[1].2.hwp,hwp3,190587,3.0.0.0,1,59,1163,41273,`99년도 소관 정부출연연구기관평가를 위한,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9918_기초기술연구회 출연연구기관 평가시스템 개발 및 적용 연구(이정원)/기관평가편람/_99평가추진계획(시달).hwp,hwp3,57375,3.0.0.0,1,16,279,8754,`99년도 소관 정부출연연구기관평가를 위한,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9918_기초기술연구회 출연연구기관 평가시스템 개발 및 적용 연구(이정원)/최종보고서2.hwp,hwp3,110129,3.0.0.0,1,41,680,22529,기초기술연구회 출연연구기관,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9918_기초기술연구회 출연연구기관 평가시스템 개발 및 적용 연구(이정원)/평가편람3(최종본).hwp,hwp3,189249,3.0.0.0,1,58,1126,40845,1999년도 기초기술연구회 소관,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9919_한미 과학기술협력사업 평가 및 개선방안에 관한 연구(정성철)/한미최종.hwp,hwp3,1659106,3.0.0.0,1,124,1265,144422,정책연구 99-27,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9922_과학기술인력 양성제도의 현황과 선진각국의 주요 정책방향에 관한 연구(고상원)/B-j3113(16절).hwp,hwp3,426505,3.0.0.0,1,162,1283,175284,정책연구 99-10,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9922_과학기술인력 양성제도의 현황과 선진각국의 주요 정책방향에 관한 연구(고상원)/B-W3113(18절).hwp,hwp3,432505,3.0.0.0,1,185,1432,177068,과학기술인력 양성제도의 현황과,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/KINI편람4.hwp,hwp3,76004,3.0.0.0,1,21,387,10684,2. 산업기술정보원(KINITI)의 자체평가자료 작성 지침,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/KOR편람5.hwp,hwp3,72844,3.0.0.0,1,18,372,9745,"￼￼Ⅱ. 항목별 평가기준, 지표 및 출연(연) 자체평가자료 작성 지침",[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/경영목표2.hwp,hwp3,40437,3.0.0.0,1,13,128,7127,STEPI '99년도 과학기술계 3개 연구회 소관 출연연구기관 평가지표 및 평가시스템 개발연구                        전현곤,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/공공보고서(1222).hwp,hwp3,363516,3.0.0.0,1,131,2184,82384,공공기술연구회 출연연구기관,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/공공보고서(12[1].21).hwp,hwp3,391215,3.0.0.0,1,134,2254,84763,1999년도,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/공공보고서.hwp,hwp3,367835,3.0.0.0,1,131,2213,83076,1999년도,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/공공편람3.hwp,hwp3,139053,3.0.0.0,1,40,753,26487,￼,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/기관전체6.hwp,hwp3,66043,3.0.0.0,1,19,141,12716,부     록,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/평가지침1.hwp,hwp3,322264,3.0.0.0,1,119,1837,72898,1999년도,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9923_공공기술연구회 평가업무 수행을 위한 연구용역사업(임기철)/평가편람(전체).hwp,hwp3,316549,3.0.0.0,1,116,1881,71904,1999년도,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9925_정부출연연구기관 운영체제 발전방안(최영락)/I99-25.hwp,hwp3,133715,3.0.0.0,1,99,1645,55652,정부출연연구기관,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9929_선진국 주요 연구기관의 연구개발정책 및 연구과제 동향 분석과 국내 활용체제 구축(최영식)/99-19(정책연구).hwp,hwp3,505330,3.0.0.0,1,129,2115,124372,정책연구 99-19,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9929_선진국 주요 연구기관의 연구개발정책 및 연구과제 동향 분석과 국내 활용체제 구축(최영식)/부록.hwp,hwp3,852098,3.0.0.0,1,324,3806,947843,[부록 1] NSF 프로젝트 개요￼￼,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0001_우리나라 과학기술 경쟁력의 IMD평가와 대응방안(권용수.정진호)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서-1).hwp,hwp3,701758,3.0.0.0,1,264,2606,306832,정책연구 99-44,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0001_우리나라 과학기술 경쟁력의 IMD평가와 대응방안(권용수.정진호)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서-2).hwp,hwp3,963745,3.0.0.0,1,152,1128,186757,￼￼￼제 3 장  과학기술 경쟁력 강화 액션 프로그램,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0001_우리나라 과학기술 경쟁력의 IMD평가와 대응방안(권용수.정진호)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서-2-1).hwp,hwp3,1011141,3.0.0.0,1,152,1131,186826,￼￼￼제 3 장  과학기술 경쟁력 강화 액션 프로그램,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0001_우리나라 과학기술 경쟁력의 IMD평가와 대응방안(권용수.정진호)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서)/우리나라 과학기술 경쟁력의 IMD평가와 대응방안_권용수(최종보고서-3).hwp,hwp3,44546,3.0.0.0,1,2,11,2499,￼경제규모와 경쟁력 순위별로 본 IMD평가 47개국의 국가별 지역별 그룹분류,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0002_기초기술연구회 소관 출연(연) '99 기관평가 보고서(이정원)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서)/'99 소관연구기관 평가실시 지원 연구_이정원(1.KIST보고서).hwp,hwp3,123386,3.0.0.0,1,62,723,52717,[첨부]￼,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0002_기초기술연구회 소관 출연(연) '99 기관평가 보고서(이정원)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서)/'99 소관연구기관 평가실시 지원 연구_이정원(2.생명보고서).hwp,hwp3,76946,3.0.0.0,1,28,336,21072,2. 생명공학연구소,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0002_기초기술연구회 소관 출연(연) '99 기관평가 보고서(이정원)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서)/'99 소관연구기관 평가실시 지원 연구_이정원(3.기초보고서).hwp,hwp3,83350,3.0.0.0,1,31,350,23849,3. 기초과학지원연구소,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0002_기초기술연구회 소관 출연(연) '99 기관평가 보고서(이정원)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서)/'99 소관연구기관 평가실시 지원 연구_이정원(부록5).hwp,hwp3,26372,3.0.0.0,1,1,5,819,연구기관별 연구/사업비 현황,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0002_기초기술연구회 소관 출연(연) '99 기관평가 보고서(이정원)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서).hwp,hwp3,203749,3.0.0.0,1,73,810,57787,기초기술연구회 소관 출연(연),[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0002_기초기술연구회 소관 출연(연) '99 기관평가 보고서(이정원)/'99 소관연구기관 평가실시 지원 연구_이정원(최종보고서)/'99 소관연구기관 평가실시 지원 연구_이정원(표수정(예산)).hwp,hwp3,27172,3.0.0.0,1,1,7,768,예  산,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0004_'99 지방과학기술연감(정선양)/'99년도 지방과학기술 연감 발간_정선양(최종보고서).hwp,hwp3,2627440,3.0.0.0,1,504,4697,490739,1999,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0005_경상북도 과학기술진흥 5개년 계획(임기철.정선양)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(최종보고서)/case-ausland.hwp,hwp3,42902,3.0.0.0,1,10,241,8734,I. 선진국의 지역과학기술 정책,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0005_경상북도 과학기술진흥 5개년 계획(임기철.정선양)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(최종보고서)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(요약).hwp,hwp3,65724,3.0.0.0,1,5,71,2755,문서번호,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0005_경상북도 과학기술진흥 5개년 계획(임기철.정선양)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(최종보고서)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(최종보고서).hwp,hwp5,210432,5.0.3.3,1,62,787,35153,경상북도 과학기술진흥 5개년 계획,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0005_경상북도 과학기술진흥 5개년 계획(임기철.정선양)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(최종보고서)/경상북도 과학기술진흥 5개년 계획 수립에 관한 연구_임기철(표지).hwp,hwp3,22695,3.0.0.0,1,1,24,101,세미나 자료집,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0006_New Millennium을 위한 연구개발사업의 조사 연구(임기철 외)/New Millennium을 위한 연구개발사업의 조사 연구_임기철_강광남(최종보고서)/2부10장-1(가로표).hwp,hwp3,54368,3.0.0.0,1,10,51,6032,<표 Ⅱ-35> 수소에너지 연구 프로그램,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0007_'99년 및 2000년도 기초연구예산 투자흐름 분석연구(민철구 외)/'99년 및 2000년도 기초연구예산 투자흐름 분석연구_민철구(최종보고서)/'99년 및 2000년도 기초연구예산 투자흐름 분석연구_민철구(부록5).hwp,hwp3,33801,3.0.0.0,1,4,20,2788,[부록 5-1] 기초연구예산의 감소 규모,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0009_정부연구개발프로그램 평가체계의 비교분석과 향후 평가체계 구축방안(황용수)/정부연구개발프로그램 평가체계의 비교분석을~_황용수(최종보고서)/정부연구개발프로그램 평가체계의 비교분석을~_황용수(최종보고서).hwp,hwp3,287359,3.0.0.0,1,161,1820,170974,￼							      과제번호 OO - OO,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0009_정부연구개발프로그램 평가체계의 비교분석과 향후 평가체계 구축방안(황용수)/정부연구개발프로그램 평가체계의 비교분석을~_황용수(최종보고서)/표52.hwp,hwp3,26221,3.0.0.0,1,1,5,742,<표 5-2> 각 부처 연구개발사업의 비교,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0010_생물산업 발전기반 조성을 위한 5개년 계획 수립 연구(신태영)/생물산업 발전기반 조성을 위한 5개년 계획 수립방안_신태영(최종보고서)/3권/생물산업 발전기반 조성을 위한 5개년 계획 수립방안_신태영(최종보고서-3권).hwp,hwp3,1246237,3.0.0.0,1,159,1976,106595,생,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0011_중소기업 기술경쟁력 제고 5개년 계획(김갑수)/중장기 중소기업 기술경쟁력 제고 대책(2차년도)_김갑수(발간목록).hwp,hwp3,67463,3.0.0.0,1,6,30,9159,보고서 판매 안내,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0011_중소기업 기술경쟁력 제고 5개년 계획(김갑수)/중장기 중소기업 기술경쟁력 제고 대책(2차년도)_김갑수(최종보고서)/중장기 중소기업 기술경쟁력 제고 대책(2차년도)_김갑수(최종보고서-부록).hwp,hwp3,1295574,3.0.0.0,1,50,213,12568,￼￼,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0011_중소기업 기술경쟁력 제고 5개년 계획(김갑수)/중장기 중소기업 기술경쟁력 제고 대책(2차년도)_김갑수(최종보고서)/중장기 중소기업 기술경쟁력 제고 대책(2차년도)_김갑수(최종보고서-판권).hwp,hwp3,25349,3.0.0.0,1,1,20,268,정책연구 2000-05,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0012_21세기를 지향한 KIST의 발전전략 및 대형연구사업 추진체제 설계에 관한 연구(최영락)/21세기를 지향한 KIST 발전전략~_최영식(참고문헌).hwp,hwp3,25743,3.0.0.0,1,1,31,1085,참 고 문 헌,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0012_21세기를 지향한 KIST의 발전전략 및 대형연구사업 추진체제 설계에 관한 연구(최영락)/21세기를 지향한 KIST 발전전략~_최영식(최종보고서).hwp,hwp3,301890,3.0.0.0,1,134,1850,122666,21세기를 지향한 KIST의 발전전략 및,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0013_기상관측망의 효율화를 통한 기상서비스체계 강화방안(윤문섭)/기상관측망의 효율화를 통한 기상서비스체계 강화방안_윤문섭(최종보고서)/기상관측망의 효율화를 통한 기상서비스체계 강화방안_윤문섭(부록).hwp,hwp3,889625,3.0.0.0,1,66,1126,95353,부   록,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0013_기상관측망의 효율화를 통한 기상서비스체계 강화방안(윤문섭)/기상관측망의 효율화를 통한 기상서비스체계 강화방안_윤문섭(최종보고서)/기상관측망의 효율화를 통한 기상서비스체계 강화방안_윤문섭(최종보고서).hwp,hwp3,12440914,3.0.0.0,1,183,1429,145757,기상관측 및 서비스체계 효율화방안,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0014_2000년 기초기술연구회 소관연구기관 평가시스템 개선 연구(이정원)/2000년도 소관 연구기관 평가시스템 개선연구_이정원(최종보고서).hwp,hwp3,282602,3.0.0.0,1,107,1353,71132,2000년 기초기술연구회,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0017_지식기반사회 확충을 위한 과학기술 인프라 정비 방안(임기철)/지식기반사회 확충을 위한 과학기술 인프라 정비 방안_임기철(최종보고서).hwp,hwp3,378714,3.0.0.0,1,146,1459,121038,제   출   문,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0018_연구개발인력의 중장기(2000~2010) 수급전망(고상원)/연구개발인력의 중장기(2000-2010) 수급예측_고상원(최종보고서)/연구개발인력의 중장기(2000-2010) 수급예측_고상원(최종보고서).hwp,hwp3,923997,3.0.0.0,1,170,1244,157123,제   출   문,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0019_국가지원 슈퍼컴퓨터센터의 발전 방안에 관한 연구(송위진)/국가지원 슈퍼컴퓨터센터의 발전 방안에 관한 연구_송위진(최종보고서).hwp,hwp3,461646,3.0.0.0,1,116,1636,112775,국가지원 슈퍼컴퓨터센터의,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0020_지방자치단체 공무원 과학기술정책 교육 프로그램 개발(이공래)/지방자치단체공무원 과학기술 교육·훈련프로그램 개발_이공래(최종보고서)/지방자치단체공무원 과학기술 교육·훈련프로그램 개발_이공래(최종보고서).hwp,hwp3,357678,3.0.0.0,1,180,1750,165679,제  출  문,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0020_지방자치단체 공무원 과학기술정책 교육 프로그램 개발(이공래)/지방자치단체공무원 과학기술 교육·훈련프로그램 개발_이공래(최종보고서)/지방자치단체공무원 과학기술 교육·훈련프로그램 개발_이공래(최종보고서-설문조사표).hwp,hwp3,68942,3.0.0.0,1,17,221,20774,<설문 조사표>,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0020_지방자치단체 공무원 과학기술정책 교육 프로그램 개발(이공래)/지방자치단체공무원 과학기술 교육·훈련프로그램 개발_이공래(최종보고서)/지방자치단체공무원 과학기술 교육·훈련프로그램 개발_이공래(최종보고서-표지).hwp,hwp3,24400,3.0.0.0,1,2,30,188,정책연구 2000-10-01,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0026_국내외 기술기획방법론 조사 연구(임기철)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서-1).hwp,hwp3,186233,3.0.0.0,1,32,452,15254,국내외 기술기획 방법론 조사 연구,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0026_국내외 기술기획방법론 조사 연구(임기철)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서-2).hwp,hwp3,75034,3.0.0.0,1,6,11,313,￼￼5. 기업의 기술혁신능력 평가방법,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0026_국내외 기술기획방법론 조사 연구(임기철)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서-4).hwp,hwp3,100151,3.0.0.0,1,25,204,22287,￼￼제 5 장  기술지도(Technology ￼Road Map)를,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0026_국내외 기술기획방법론 조사 연구(임기철)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서-5).hwp,hwp3,170084,3.0.0.0,1,31,312,24772,￼￼제 6 장  AHP기법을 활용한 기업의 기술기획,[],,,
40년 기관 생산 발간물/5. 수탁연구/2000년 수탁과제 최종보고서(22건)/I-0026_국내외 기술기획방법론 조사 연구(임기철)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서)/국내외 기술 기획 방법론 조사 연구_임기철(최종보고서-6).hwp,hwp3,3911026,3.0.0.0,1,72,703,48637,￼￼제 7 장  국내 유수기업의 기술 기획 현황 및 사례,[],,,
40년 기관 생산 발간물/5. 수탁연구/2001년 수탁과제 최종보고서(27건)/I-0101_기술가치평가기법의 개발을 위한 연구(이재억)/기술가치평가기법 개발을 위한 연구_이재억(최종보고서).hwp,hwp3,567592,3.0.0.0,1,144,1442,130698,정책연구 2000-11,[],,,
40년 기관 생산 발간물/5. 수탁연구/2001년 수탁과제 최종보고서(27건)/I-0107_기초기술연구회 소관 출연(연) 2000년도 기관평가 보고서(이정원)/2000년도 기초기술연구회 소관연구기관 평가실시 지원 연구_조황희_이정원(최종보고서).hwp,hwp3,227571,3.0.0.0,1,112,1122,74720,(),[],,,
40년 기관 생산 발간물/5. 수탁연구/2001년 수탁과제 최종보고서(27건)/I-0109_충북 특성산업 육성을 위한 과학기술 진흥 5개년 게획 구상(이공래)/4.최종보고서(2부).hwp,hwp3,170447,3.0.0.0,1,77,1357,52908,제 2 부,[],,,
